epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
86,1574.7,1.03088,1.86027,0.81879,1.15127,0,0.65056,0.69372,0.67742,0.37474,0.63201,0.64434,0.59819,0.25476,1.41397,2.2891,1.05437,1.48873,0,0.00010572,0.00010572,0.00010572
87,1603.47,1.01903,1.85875,0.81221,1.13833,0,0.67465,0.63311,0.67096,0.36871,0.62129,0.62467,0.5899,0.24835,1.42506,2.28335,1.0586,1.50107,0,9.91162e-05,9.91162e-05,9.91162e-05
88,1630,1.01296,1.84899,0.80062,1.12978,0,0.69944,0.62752,0.67335,0.37057,0.67391,0.56877,0.59302,0.25075,1.41427,2.30556,1.05954,1.49269,0,9.25129e-05,9.25129e-05,9.25129e-05
89,1659.06,0.99865,1.82636,0.79612,1.13245,0,0.66152,0.64701,0.67002,0.3723,0.64691,0.60267,0.59656,0.25325,1.40041,2.28701,1.04593,1.47556,0,8.59096e-05,8.59096e-05,8.59096e-05
90,1687.34,1.02535,1.837,0.81159,1.14391,0,0.64515,0.65746,0.67252,0.36826,0.61126,0.61758,0.59861,0.25299,1.41168,2.31779,1.05186,1.49959,0,7.93063e-05,7.93063e-05,7.93063e-05
91,1749.71,1.01326,1.73115,0.85636,1.17637,0,0.65042,0.64231,0.65623,0.36005,0.67135,0.55615,0.56557,0.23861,1.42887,2.36751,1.09126,1.5182,0,7.2703e-05,7.2703e-05,7.2703e-05
92,1778.8,0.98785,1.67226,0.7869,1.15641,0,0.68074,0.6369,0.66641,0.36301,0.64966,0.58154,0.58748,0.24388,1.42573,2.3557,1.08882,1.51322,0,6.60997e-05,6.60997e-05,6.60997e-05
93,1807.59,0.95727,1.64354,0.76373,1.14585,0,0.65493,0.64903,0.6765,0.37042,0.61971,0.60608,0.5958,0.24971,1.41241,2.35701,1.07072,1.50006,0,5.94964e-05,5.94964e-05,5.94964e-05
94,1835.38,0.9514,1.64279,0.74111,1.13322,0,0.65208,0.63791,0.65928,0.3646,0.62323,0.59893,0.58595,0.24615,1.41497,2.33217,1.06982,1.50706,0,5.28931e-05,5.28931e-05,5.28931e-05
95,1863.86,0.91331,1.60781,0.74327,1.12725,0,0.66148,0.62305,0.66088,0.36847,0.65635,0.57774,0.59025,0.24654,1.40872,2.34531,1.06122,1.50412,0,4.62898e-05,4.62898e-05,4.62898e-05
96,1891.6,0.92951,1.60686,0.72871,1.12656,0,0.6853,0.63116,0.67104,0.36941,0.63161,0.59636,0.58662,0.24556,1.40959,2.34621,1.06571,1.49795,0,3.96865e-05,3.96865e-05,3.96865e-05
97,1920.4,0.91252,1.59242,0.72316,1.11529,0,0.67414,0.64159,0.6656,0.36785,0.64141,0.60039,0.59531,0.24937,1.40916,2.36318,1.06132,1.50127,0,3.30832e-05,3.30832e-05,3.30832e-05
98,1949.1,0.90628,1.58295,0.70848,1.10921,0,0.66211,0.65523,0.67247,0.37131,0.61299,0.6198,0.59416,0.24965,1.40712,2.36319,1.0578,1.49988,0,2.64799e-05,2.64799e-05,2.64799e-05
99,1977.35,0.92285,1.61321,0.72199,1.1246,0,0.68684,0.63351,0.67349,0.37154,0.63913,0.58797,0.59046,0.24772,1.40934,2.35424,1.06406,1.5018,0,1.98766e-05,1.98766e-05,1.98766e-05
100,2005.5,0.89322,1.56952,0.71067,1.11171,0,0.67996,0.63423,0.67096,0.37179,0.64233,0.59056,0.59296,0.24884,1.40606,2.34589,1.05801,1.4985,0,1.32733e-05,1.32733e-05,1.32733e-05
